Name,Positions,AveragePasses,Crosses,LongBalls,ThroughBalls
Lionel Messi,",  AM(CR),FW  ",59.9	,0.8	,2.9	,1.3	
Neymar,",  AM(CLR),FW  ",59.9	,0.7	,1.9	,0.6	
Erling Haaland,",  FW  ",14.4	,-	,0.1	,0.2	
Kylian Mbappé,",  AM(LR),FW  ",34.7	,0.4	,0.3	,0.1	
Kevin De Bruyne,",  M(CLR),FW  ",43.5	,2.4	,2.9	,0.5	
Martin Terrier,",  AM(CL),FW  ",37	,0.2	,1.4	,0.2	
Robert Lewandowski,",  FW  ",20	,0.2	,0.6	,0.1	
Joshua Kimmich,",  D(CR),DMC,M(R)  ",78.7	,2.2	,5.9	,0.3	
Rémy Cabella,",  M(CLR),FW  ",57.3	,1.2	,1.7	,0.3	
Jamal Musiala,",  M(CL)  ",31.4	,-	,0.3	,0.1	
Kieran Trippier,",  D(LR),M(R)  ",51.8	,3.5	,3.3	,0.3	
Gabriel Jesus,",  AM(LR),FW  ",27.6	,0.1	,0.5	,0.1	
Khvicha Kvaratskhelia,",  AM(CLR)  ",22.7	,0.2	,0.6	,0.3	
Harry Kane,",  AM(C),FW  ",22	,0.3	,1.9	,0.1	
Marcus Thuram,",  AM(L),FW  ",16.7	,0.1	,0.1	,0.1	
Jude Bellingham,",  M(CLR)  ",51.9	,0.1	,4.1	,0.2	
Vinícius Júnior,",  AM(L),FW  ",33	,0.1	,0.7	,0.1	
Alexandre Lacazette,",  M(CLR),FW  ",25.5	,0.2	,0.7	,0.1	
Christopher Nkunku,",  M(CLR),FW  ",27.9	,0.3	,1.7	,0.1	
Niclas Füllkrug,",  FW  ",31.1	,0.2	,1.6	,-	
Aleksandar Mitrovic,",  FW  ",19.7	,-	,1	,0.1	
Enzo Le Fée,",  M(CLR)  ",55.7	,1.1	,3.5	,0.3	
Victor Osimhen,",  FW  ",11.5	,-	,0.2	,-	
Sergej Milinkovic-Savic,",  AM(C)  ",52.4	,0.1	,2.7	,0.4	
Vincenzo Grifo,",  AM(CL)  ",38.5	,0.7	,2.5	,0.3	
Dango Ouattara,",  AM(LR)  ",22.4	,0.1	,0.5	,0.1	
Florian Sotoca,",  AM(CR),FW  ",39.3	,0.6	,2.5	,0.4	
Rodrygo,",  AM(CLR),FW  ",27.4	,0.3	,0.3	,0.1	
James Maddison,",  AM(CLR)  ",39.9	,0.8	,2.4	,0.1	
Martin Ødegaard,",  AM(CR)  ",42.5	,0.5	,1.6	,0.2	
Phil Foden,",  AM(CLR),FW  ",36.7	,1.5	,0.8	,0.1	
Paulo Dybala,",  AM(CR),FW  ",29.1	,1.2	,2	,-	
Michael Gregoritsch,",  AM(CR),FW  ",16.8	,0.1	,0.1	,-	
Bukayo Saka,",  D(L),M(CLR)  ",32	,1.3	,1	,-	
Gabriel Martinelli,",  AM(L),FW  ",27.4	,0.5	,1.6	,0.1	
Federico Valverde,",  M(CLR)  ",47.5	,0.1	,2.2	,-	
Rodri,",  DMC  ",92.5	,-	,5.1	,-	
Benjamin André,",  D(R),M(CLR)  ",58.4	,-	,3.8	,0.2	
Ousmane Dembélé,",  AM(CLR),FW  ",32.3	,1.3	,1.4	,0.4	
Bruno Guimarães,",  DMC  ",52.2	,0.1	,3.3	,0.2	
Jonathan David,",  AM(C),FW  ",22.4	,0.1	,0.5	,0.1	
Serge Gnabry,",  AM(CLR),FW  ",24.9	,0.3	,0.5	,-	
Amine Gouiri,",  AM(L),FW  ",21	,0.5	,0.9	,0.1	
Rodrigo Bentancur,",  M(C)  ",48.9	,0.3	,1.6	,0.1	
Mikel Merino,",  M(C)  ",46.6	,0.1	,2.1	,0.1	
Ivan Toney,",  FW  ",22.3	,0.2	,0.4	,0.1	
Eric Choupo-Moting,",  M(CLR),FW  ",13.9	,0.1	,0.1	,0.2	
Adrien Rabiot,",  DMC,M(L)  ",33.9	,0.2	,2	,0.1	
Leroy Sané,",  M(CLR),FW  ",34.8	,0.1	,0.3	,0.1	
Thomas Partey,",  D(R),M(CR)  ",64.2	,-	,3.7	,0.1	
Randal Kolo Muani,",  AM(R),FW  ",16.5	,0.1	,0.4	,0.1	
Jonas Hofmann,",  D(R),M(CLR)  ",36.3	,2.8	,1.2	,0.2	
Frenkie de Jong,",  D(C),DMC  ",55.6	,0.3	,2.8	,0.2	
Mário Rui,",  D(L),M(L)  ",57.8	,2	,4.8	,0.1	
Dominik Szoboszlai,",  AM(CLR)  ",41.6	,1.6	,2.1	,0.3	
Joelinton,",  AM(CLR),FW  ",36.2	,0.3	,0.9	,0.1	
Konstantinos Mavropanos,",  D(CR)  ",47.2	,0.1	,5.8	,0.1	
Pedri,",  AM(CL)  ",51.4	,-	,5.4	,0.5	
Marco Verratti,",  M(C)  ",86.4	,-	,3.4	,0.2	
Willi Orbán,",  D(C)  ",74.3	,-	,4.8	,-	
Lorenzo Pellegrini,",  M(CL)  ",35.3	,1.6	,2.5	,0.1	
Lautaro Martínez,",  FW  ",19.3	,-	,1	,0.1	
Benjamin Pavard,",  D(CLR),M(R)  ",67.6	,0.5	,2.5	,0.1	
Roberto Firmino,",  M(CLR),FW  ",32.4	,0.1	,0.5	,0.3	
Antoine Griezmann,",  AM(CLR),FW  ",28.1	,0.8	,1.4	,0.1	
Mattia Zaccagni,",  AM(CL),FW  ",22.5	,0.2	,0.5	,-	
Miguel Almirón,",  AM(CLR),FW  ",30.3	,0.2	,0.5	,-	
Maximilian Arnold,",  M(CR)  ",42	,1.5	,6	,0.3	
Brais Méndez,",  AM(CR),FW  ",42.7	,1.3	,2.7	,0.2	
Armand Laurienté,",  AM(LR),FW  ",26	,1.3	,0.4	,0.1	
Frank Anguissa,",  M(C)  ",58.2	,-	,1.8	,-	
Hakan Çalhanoglu,",  M(CLR),FW  ",42.7	,1.9	,2.1	,0.2	
Joselu,",  FW  ",23.2	,0.1	,0.5	,-	
Aleix García,",  DMC  ",56.8	,3	,3.9	,0.1	
Sadio Mané,",  AM(CLR),FW  ",18.7	,0.4	,0.3	,-	
Fabian Schär,",  D(C)  ",49.4	,0.1	,4.2	,-	
José Gayà,",  D(L),M(L)  ",49.3	,1.8	,3.7	,0.1	
Rafal Gikiewicz,",  GK  ",39.8	,-	,10.5	,-	
Bruno Fernandes,",  M(CLR)  ",47.2	,0.8	,2.8	,0.5	
Piotr Zielinski,",  M(CL)  ",33.9	,1.3	,1	,-	
Ciro Immobile,",  FW  ",19.4	,-	,0.3	,0.2	
Daichi Kamada,",  AM(CLR),FW  ",40.2	,0.5	,1.8	,0.2	
Aurélien Tchouaméni,",  DMC  ",56.1	,-	,1.3	,0.3	
Gianluigi Donnarumma,",  GK  ",21.2	,-	,2.1	,-	
João Cancelo,",  D(LR),M(R)  ",69.4	,0.8	,2.6	,-	
Lucas Martínez,",  D(C)  ",58.8	,-	,6.5	,-	
Bernd Leno,",  GK  ",30.2	,-	,4.9	,-	
Nabil Bentaleb,",  M(C)  ",58.8	,0.7	,4.8	,0.1	
Gerónimo Rulli,",  GK  ",33.8	,-	,5	,-	
Vedat Muriqi,",  FW  ",23.6	,-	,0.6	,-	
Moussa Diaby,",  M(CLR),FW  ",27.2	,0.7	,0.8	,0.1	
Yann Sommer,",  GK  ",55.5	,-	,6.9	,-	
Dodi Lukébakio,",  AM(CLR),FW  ",19.5	,0.6	,0.9	,0.1	
Bernardo Silva,",  M(CLR),FW  ",48.2	,0.4	,2.4	,0.1	
Branco van den Boomen,",  DMC  ",54.1	,2.7	,8.5	,0.2	
Andrei Girotto,",  D(C),DMC  ",46.8	,0.1	,3.9	,-	
Rafael Leão,",  AM(L),FW  ",20.8	,0.6	,2.1	,0.1	
Kim Min-Jae,",  D(C)  ",73.7	,0.1	,3.5	,-	
Breel Embolo,",  AM(CR),FW  ",16.5	,-	,0.3	,0.1	
Ilkay Gündogan,",  M(C)  ",48.5	,0.3	,2.4	,0.3	
Gerard Deulofeu,",  AM(CLR),FW  ",33.7	,1.2	,0.6	,-	
Guido Rodríguez,",  DMC  ",49.6	,-	,2.5	,0.2	
Son Heung-Min,",  M(CLR),FW  ",21	,1.3	,0.4	,-	
Achraf Hakimi,",  D(LR),M(R)  ",41.9	,0.6	,0.2	,-	
Terem Moffi,",  AM(R),FW  ",12.1	,-	,0.1	,-	
Romain Del Castillo,",  AM(LR),FW  ",22.1	,1.3	,1.2	,-	
Ismaël Bennacer,",  DMC  ",47.6	,0.9	,3.4	,0.1	
Seko Fofana,",  M(C)  ",50.4	,0.4	,2.5	,0.1	
Matthias Ginter,",  D(CR),DMC  ",57.7	,-	,4.1	,-	
Rafael Tolói,",  D(C)  ",39.7	,0.1	,3.5	,-	
Adam Ounas,",  AM(CLR),FW  ",26.8	,0.8	,1.7	,0.2	
Alphonso Davies,",  D(L),M(LR)  ",54.3	,0.2	,1.3	,-	
Nuno Mendes,",  D(L),M(L)  ",31.9	,0.2	,0.6	,0.2	
Paulo Otávio,",  D(L),M(L)  ",41	,0.9	,2	,0.1	
Pau López,",  GK  ",31.2	,-	,6.3	,-	
Alassane Plea,",  AM(CLR),FW  ",30.1	,0.5	,1.9	,0.4	
Pierre-Emile Højbjerg,",  M(C)  ",66.1	,0.2	,4.6	,0.3	
Toni Kroos,",  M(C)  ",80.4	,1.3	,6.4	,0.1	
Florian Kainz,",  AM(CLR)  ",25.9	,2.1	,1.1	,0.2	
Casemiro,",  DMC  ",44.8	,0.2	,3.3	,0.1	
Wilfried Zaha,",  AM(LR),FW  ",24.7	,0.2	,0.3	,0.1	
Jeremie Frimpong,",  D(R),M(R)  ",27.5	,0.4	,0.6	,-	
Florian Tardieu,",  M(C)  ",57.4	,1.1	,4.5	,-	
Alexis Mac Allister,",  M(CL),FW  ",57.6	,0.4	,2.2	,-	
Leon Goretzka,",  M(CR)  ",34.5	,-	,0.7	,0.1	
Leandro Trossard,",  M(CLR),FW  ",30.5	,0.7	,1.6	,0.2	
Callum Wilson,",  FW  ",9.3	,0.1	,0.1	,-	
Yeray Álvarez,",  D(C)  ",53.2	,0.3	,3.8	,0.1	
Pascal Struijk,",  D(CL),DMC  ",42.3	,0.2	,0.6	,-	
Aleksandr Golovin,",  M(CLR)  ",26.1	,0.8	,1.1	,0.1	
Ivan Provedel,",  GK  ",32.9	,-	,8.1	,-	
Felipe Anderson,",  M(CLR),FW  ",31.2	,0.1	,0.5	,-	
Nicolò Barella,",  AM(C)  ",45.1	,0.5	,1.6	,0.1	
Thiago Silva,",  D(C)  ",74.7	,-	,5	,-	
Jonathan Clauss,",  D(R),M(R)  ",33.7	,1	,0.9	,-	
Ardian Ismajli,",  D(C)  ",36.9	,-	,2	,-	
Téji Savanier,",  M(C)  ",51.2	,1.8	,4.8	,0.2	
Juan Cuadrado,",  D(R),M(CLR),FW  ",36.6	,1.6	,2.6	,-	
Granit Xhaka,",  D(L),M(C)  ",44.5	,0.1	,2	,-	
Alisson,",  GK  ",30.4	,-	,4.4	,-	
Jaka Bijol,",  D(C),M(C),FW  ",35.9	,-	,2	,0.1	
Alessio Romagnoli,",  D(CL)  ",49	,-	,3.4	,0.1	
Enes Ünal,",  FW  ",20.3	,0.1	,0.3	,0.1	
Ramy Bensebaïni,",  D(CL),DMC,M(L)  ",40.3	,0.1	,2.2	,0.2	
Fabiano Parisi,",  D(L)  ",35.1	,0.6	,2	,-	
Manuel Locatelli,",  M(C)  ",44.4	,-	,3.7	,-	
Frederik Rønnow,",  GK  ",36.2	,-	,7.5	,-	
Mama Baldé,",  D(R),M(CLR),FW  ",15.4	,0.1	,0.4	,-	
Nico Schlotterbeck,",  D(C)  ",69.7	,0.1	,5.6	,0.1	
Benjamin Bourigeaud,",  M(CLR)  ",42.3	,1.9	,2.1	,0.1	
Theo Hernández,",  D(L),M(L)  ",39.7	,1	,2.2	,0.1	
Mats Hummels,",  D(C)  ",62.3	,0.1	,5.8	,-	
Rasmus Nicolaisen,",  D(C)  ",45	,-	,2.9	,-	
Mitchell Weiser,",  D(R),M(R)  ",32.1	,0.5	,1.9	,0.3	
Ibañez,",  D(C)  ",56.5	,-	,3.5	,0.1	
Dusan Vlahovic,",  FW  ",17.1	,0.2	,0.8	,-	
Sergi Darder,",  M(CL)  ",39.5	,1.4	,3.6	,0.1	
Rúben Neves,",  DMC  ",61.3	,0.1	,7.1	,-	
Anton Stach,",  M(C)  ",30	,0.5	,1.1	,0.3	
Alejandro Balde,",  D(LR)  ",49.9	,0.4	,1.8	,-	
Caio Henrique,",  D(L),M(CL)  ",40.8	,0.9	,1.8	,-	
Diogo Dalot,",  D(LR),M(R)  ",46.2	,0.9	,2.9	,-	
Isi Palazón,",  AM(R)  ",31.9	,1.2	,1.5	,0.1	
Julian Brandt,",  M(CLR),FW  ",33	,1.2	,1.2	,0.1	
Nicolás Tagliafico,",  D(CL),M(L)  ",47.6	,0.3	,1.1	,-	
Eberechi Eze,",  AM(CLR)  ",34.5	,0.9	,1.4	,0.1	
James Tarkowski,",  D(C)  ",48.6	,-	,3.9	,0.1	
Wataru Endo,",  DMC  ",39.6	,-	,2.8	,-	
Axel Disasi,",  D(C)  ",48.3	,0.2	,3.3	,-	
Ben Mee,",  D(CL)  ",47.1	,-	,3.1	,-	
Iago Aspas,",  AM(CR),FW  ",31.8	,0.2	,1.4	,0.1	
Wout Faes,",  D(C)  ",70.3	,-	,2.6	,-	
Jean-Ricner Bellegarde,",  M(CLR)  ",41.7	,2	,1.8	,0.1	
Marvin Ducksch,",  FW  ",25.1	,0.8	,1.1	,0.1	
Kevin Danso,",  D(C)  ",62.2	,-	,2.7	,0.1	
Mohamed Salah,",  AM(CLR),FW  ",25.4	,0.3	,0.5	,-	
Teun Koopmeiners,",  D(C),M(C)  ",42.9	,1.1	,2.5	,0.1	
Danilo,",  D(CLR),DMC  ",49.7	,0.2	,3.9	,0.1	
Koen Casteels,",  GK  ",38	,-	,11.8	,-	
Darwin Núñez,",  AM(CL),FW  ",13.6	,0.1	,0.5	,-	
Lee Kang-In,",  AM(CLR),FW  ",21.8	,1.4	,0.9	,0.1	
Gabriel Magalhães,",  D(C)  ",62.5	,-	,2.4	,-	
Jonathan Bamba,",  AM(CLR),FW  ",37.9	,0.5	,0.9	,0.3	
Dejan Kulusevski,",  AM(CR),FW  ",22.2	,0.6	,0.3	,0.1	
Jordan Pickford,",  GK  ",31.6	,-	,8.1	,0.1	
Gaëtan Laborde,",  AM(CLR),FW  ",18.7	,0.2	,0.4	,0.1	
Daniel Parejo,",  M(C)  ",59.5	,1	,5	,0.3	
Alexis Flips,",  M(CR)  ",23.6	,1.5	,1.8	,0.1	
Youri Tielemans,",  M(C)  ",54.7	,0.4	,2.5	,0.2	
Dayot Upamecano,",  D(C)  ",81	,0.1	,5.3	,-	
Alfonso Pedraza,",  D(L),M(L)  ",26.9	,0.4	,0.5	,-	
Samuel Lino,",  AM(LR),FW  ",32	,0.2	,0.6	,-	
Sheraldo Becker,",  AM(CLR),FW  ",13.2	,1.1	,0.7	,0.1	
Rodrigo,",  M(CLR),FW  ",19.9	,0.2	,1	,-	
Alex Berenguer,",  D(LR),M(CLR),FW  ",27.4	,1.2	,0.7	,-	
Vinicius Souza,",  DMC  ",33.6	,0.1	,2.1	,-	
Giovanni Di Lorenzo,",  D(CLR),M(R)  ",58.5	,0.4	,2.8	,-	
Iñaki Williams,",  AM(CLR),FW  ",18.1	,0.2	,0.3	,0.1	
Declan Rice,",  D(C),DMC  ",61.4	,0.1	,4.7	,-	
Fikayo Tomori,",  D(CR)  ",54	,-	,5.3	,-	
Rony Lopes,",  AM(CLR),FW  ",17.3	,1.1	,1.3	,-	
Rodrigo Becão,",  D(C)  ",41.1	,-	,2.4	,-	
Nico Williams,",  AM(R)  ",21.9	,0.6	,0.2	,-	
Ozan Kabak,",  D(C)  ",54.4	,-	,2.6	,-	
João Palhinha,",  DMC  ",34	,-	,2.1	,-	
Azor Matusiwa,",  DMC  ",42.6	,-	,3.2	,-	
Jeremías Ledesma,",  GK  ",27	,-	,7.4	,-	
Nuno Tavares,",  D(L),M(L)  ",34.5	,0.6	,1.4	,0.1	
Alexander Sørloth,",  AM(R),FW  ",16	,-	,0.1	,-	
Rafael Ratão,",  AM(R)  ",25.7	,0.4	,0.6	,0.1	
Jordi Alba,",  D(L),M(L)  ",63.5	,1.1	,3.1	,0.2	
Luka Modric,",  M(C)  ",57.8	,0.5	,2.8	,0.4	
Edin Dzeko,",  FW  ",16.5	,-	,0.7	,0.3	
Sofiane Boufal,",  AM(CLR),FW  ",31.2	,0.5	,1.4	,0.2	
Stefano Sensi,",  AM(C)  ",56.2	,0.7	,4.5	,0.1	
Federico Fazio,",  D(C)  ",46.4	,-	,2.9	,-	
Maxime Dupé,",  GK  ",31.5	,-	,5.9	,-	
Jordan Siebatcheu,",  FW  ",12.2	,-	,0.1	,-	
Wissam Ben Yedder,",  AM(C),FW  ",18.3	,0.1	,0.2	,-	
Marcus Tavernier,",  M(CLR)  ",27.3	,1.2	,0.8	,-	
Ritsu Doan,",  AM(CLR),FW  ",19.7	,0.3	,0.6	,-	
Álvaro Morata,",  AM(L),FW  ",12.6	,0.1	,0.3	,-	
Stanislav Lobotka,",  DMC  ",57.5	,-	,2.7	,-	
Ludovic Blas,",  M(CLR),FW  ",28.7	,0.6	,2.7	,-	
Malo Gusto,",  D(R),M(R)  ",61.1	,1.9	,2.4	,-	
Jonas Hector,",  D(L),M(CL)  ",44.8	,0.5	,2.8	,-	
Karl Toko-Ekambi,",  AM(LR),FW  ",29.1	,0.3	,1.3	,0.1	
Giacomo Bonaventura,",  M(CLR)  ",35	,0.5	,2	,0.1	
Tetê,",  AM(R)  ",28.3	,0.4	,0.6	,-	
Philip Billing,",  M(C)  ",24.7	,0.1	,0.5	,-	
Jordi Masip,",  GK  ",31.4	,-	,5.4	,-	
Guglielmo Vicario,",  GK  ",35.3	,-	,5.8	,-	
Wojciech Szczesny,",  GK  ",24.3	,-	,5.4	,-	
Youssouf Fofana,",  DMC  ",41	,-	,2.2	,0.3	
Youcef Atal,",  D(R),M(R)  ",26.3	,0.7	,1.3	,-	
Christoph Baumgartner,",  AM(CLR),FW  ",27.1	,0.3	,1.1	,-	
Bremer,",  D(C)  ",60.4	,-	,3.2	,-	
Filip Kostic,",  M(LR),FW  ",26	,1.7	,1.1	,-	
Raphinha,",  AM(LR),FW  ",23.8	,1.1	,1.3	,0.2	
Joachim Andersen,",  D(C)  ",66.5	,-	,6.6	,-	
Pascal Groß,",  M(CR),FW  ",36.9	,1.2	,1.6	,0.1	
Cristiano Biraghi,",  D(L),M(L)  ",48.4	,3.4	,2.6	,-	
Éder Militão,",  D(CR)  ",46.3	,-	,2.7	,-	
Solly March,",  M(CLR)  ",34.3	,0.9	,2.2	,-	
Moisés Caicedo,",  DMC  ",53.9	,0.3	,2.2	,0.1	
Rominigue Kouamé,",  M(C)  ",45.9	,0.1	,2.1	,0.1	
Tomás Soucek,",  DMC  ",35.1	,0.1	,2.2	,-	
Mory Diaw,",  GK  ",30.3	,-	,7.9	,-	
Lucas Tousart,",  DMC  ",25.9	,0.1	,1	,-	
Moses Simon,",  M(CLR),FW  ",19.9	,1.2	,0.5	,0.1	
Marc-André ter Stegen,",  GK  ",32.7	,-	,6.6	,-	
Timo Werner,",  AM(CLR),FW  ",20.7	,-	,0.8	,-	
Giorgos Kyriakopoulos,",  D(L),M(L)  ",26.7	,1.2	,2.1	,-	
Éric Ebimbe,",  M(CR)  ",26.8	,0.1	,0.4	,-	
Nicolas Pépé,",  AM(LR),FW  ",30.8	,0.8	,0.7	,0.1	
Borna Sosa,",  D(L),M(L)  ",35.8	,3.1	,1.6	,-	
David Raya,",  GK  ",38.1	,-	,10.4	,-	
Adrien Truffert,",  D(L),M(L)  ",41.4	,0.3	,0.9	,-	
Marc Oliver Kempf,",  D(C)  ",41.8	,-	,2.3	,-	
Federico Dimarco,",  D(CL),M(L)  ",33.9	,2.3	,3.2	,-	
Chris Smalling,",  D(CR)  ",38.9	,-	,1.9	,-	
Álvaro García,",  AM(L)  ",21.5	,0.8	,0.4	,-	
Sergio Busquets,",  DMC  ",57.2	,0.1	,3.6	,0.3	
Jackson Porozo,",  D(C)  ",33.3	,-	,1.1	,-	
Mark Flekken,",  GK  ",38.3	,-	,9.8	,-	
Iker Muniain,",  AM(CLR)  ",43.1	,1.1	,1.2	,0.2	
Emiliano Martínez,",  GK  ",29	,-	,6.1	,0.1	
Raphaël Guerreiro,",  D(L),M(CL)  ",54	,0.6	,1.5	,0.1	
Hirving Lozano,",  AM(LR),FW  ",14.9	,0.6	,0.1	,-	
Rasmus Kristensen,",  D(R),M(R)  ",40.6	,0.5	,1.1	,-	
Ionut Radu,",  GK  ",33.1	,-	,5.6	,-	
Alexis Sánchez,",  M(CLR),FW  ",26.7	,0.1	,1.2	,0.1	
Youssoufa Moukoko,",  FW  ",9.4	,-	,0.1	,0.1	
Ben White,",  D(CR),DMC  ",54	,0.4	,1.8	,0.1	
Przemyslaw Frankowski,",  M(CLR)  ",34	,1.4	,1.5	,-	
Borja Iglesias,",  FW  ",16.2	,-	,0.3	,0.2	
Reinildo,",  D(CL),M(L)  ",48.6	,0.3	,1.3	,-	
Paul Joly,",  D(R)  ",53.4	,0.8	,5.4	,-	
Copete,",  D(C)  ",32.3	,-	,3.1	,-	
David da Costa,",  AM(CL)  ",30.6	,0.2	,0.7	,-	
Roberto Pereyra,",  M(CLR),FW  ",36.3	,0.5	,1.4	,-	
Merih Demiral,",  D(C)  ",30.5	,-	,2.2	,-	
