Name,Positions,Playtime,Goals,Assists,ShotsAveragePerGame,PassSuccess
Nicolò Cambiaghi,",  Forward  ",247	,1	,-	,0.7	,81.5	
Riccardo Saponara,",  AM(CL)  ",445	,-	,2	,1.1	,81.1	
Gianluca Caprari,",  AM(CLR),FW  ",971	,1	,1	,1.6	,85.4	
Philippe Coutinho,",  M(CLR)  ",570	,-	,-	,1.3	,82.4	
Falaye Sacko,",  D(CR),M(R)  ",882	,-	,2	,0.3	,82.3	
Jeison Murillo,",  D(C)  ",638	,-	,-	,0.1	,82.2	
Alex Ferrari,",  D(CR)  ",869	,-	,-	,0.4	,85.1	
Lucas Boyé,",  AM(L),FW  ",736	,1	,2	,0.8	,80.1	
Tommaso Pobega,",  M(C)  ",444	,-	,-	,0.8	,75.8	
Steve Cook,",  D(C)  ",959	,-	,-	,0.3	,80.7	
Clément Vidal,",  D(C)  ",574	,-	,-	,0.7	,80.7	
Enzo Tchato Mbiayi,",  D(R)  ",690	,1	,1	,0.3	,75.3	
Grejohn Kyei,",  FW  ",596	,2	,1	,1	,70.5	
Mathieu Coutadeur,",  M(C)  ",805	,-	,-	,0.2	,85.3	
Ilia Gruev,",  DMC  ",718	,-	,-	,0.2	,87.4	
Kevin Trapp,",  GK  ",1350	,-	,-	,-	,59.1	
Cristian Gamboa,",  D(R),M(R)  ",1279	,-	,-	,0.5	,67	
Nicolas Haas,",  M(C)  ",748	,1	,-	,0.5	,76.1	
Mahdi Camara,",  D(CR),DMC  ",585	,-	,-	,0.6	,88.2	
Romain Hamouma,",  M(CLR),FW  ",598	,2	,1	,1.1	,81.7	
Mehdi Léris,",  M(CLR)  ",850	,-	,1	,0.8	,71.8	
Isaac Success,",  AM(LR),FW  ",760	,-	,3	,0.7	,64.6	
Leandro Barreiro,",  DMC  ",666	,-	,-	,0.7	,70.9	
Juan Cruz,",  D(CL)  ",1004	,-	,-	,0.1	,81.2	
Largie Ramazani,",  FW  ",800	,2	,-	,1.6	,69	
Martin Hongla,",  D(C),DMC  ",524	,-	,-	,0.6	,80.8	
Aritz Elustondo,",  D(CR)  ",619	,-	,-	,0.4	,84.5	
Lewis O'Brien,",  D(L),M(CL)  ",524	,1	,-	,0.6	,79.7	
Stanley Nsoki,",  D(CL)  ",644	,-	,-	,0.2	,80.3	
Raúl García,",  M(CLR),FW  ",348	,1	,1	,1.8	,66.4	
Adam Armstrong,",  AM(CLR),FW  ",879	,1	,1	,1.1	,77.5	
Jamie Vardy,",  AM(L),FW  ",750	,1	,4	,0.8	,59.3	
Gauthier Gallon,",  GK  ",1080	,-	,-	,-	,70.6	
Jean-Paul Boëtius,",  AM(CL),FW  ",572	,-	,-	,0.4	,73.8	
Arnaud Souquet,",  D(CR),M(R)  ",339	,-	,-	,0.1	,75.7	
Remo Freuler,",  DMC  ",834	,-	,-	,0.3	,80.4	
Kike García,",  FW  ",419	,2	,-	,1.4	,71.8	
Pedro Bigas,",  D(CL)  ",972	,-	,-	,0.5	,82.1	
Adama Soumaoro,",  D(CR)  ",786	,-	,-	,0.2	,92.4	
Denis Huseinbasic,",  Midfielder  ",372	,2	,1	,0.8	,85.7	
Mattia Caldara,",  D(C)  ",598	,-	,-	,0.7	,76.6	
Fabio Miretti,",  AM(C)  ",621	,-	,1	,1.1	,72.1	
Antonín Barak,",  AM(CR)  ",705	,1	,-	,0.8	,79.9	
Tolgay Arslan,",  M(C)  ",507	,1	,-	,0.6	,83.8	
Riad Nouri,",  Midfielder  ",726	,1	,1	,0.7	,76.9	
Samú Costa,",  M(C)  ",766	,-	,-	,0.5	,80.5	
Anthony Elanga,",  AM(LR)  ",371	,-	,1	,0.7	,78.1	
Yasser Larouci,",  D(L)  ",750	,-	,-	,0.2	,79.7	
Pierrick Capelle,",  D(L),M(CLR)  ",577	,-	,1	,0.8	,83.6	
Dennis Appiah,",  D(CLR),M(R)  ",796	,-	,-	,0.3	,75.9	
Giulio Maggiore,",  M(C)  ",659	,-	,-	,0.4	,77.2	
Jacob Murphy,",  D(R),M(LR)  ",487	,1	,1	,0.8	,66.9	
Habib Diarra,",  M(C)  ",437	,-	,-	,0.7	,76.2	
Pablo Rosario,",  D(C),DMC  ",673	,-	,-	,0.3	,89.8	
Hugo Mallo,",  D(CR),M(R)  ",878	,-	,-	,0.7	,80.3	
Jeong Woo-Yeong,",  AM(CR),FW  ",463	,1	,1	,0.5	,79.2	
Nedim Bajrami,",  AM(C)  ",807	,1	,-	,1.3	,78.7	
Soualiho Meïté,",  M(C)  ",694	,-	,-	,0.6	,79.9	
Lorenzo Colombo,",  FW  ",468	,3	,2	,1.2	,70.4	
Marcos André,",  FW  ",366	,1	,-	,1.4	,66.7	
Rui Patrício,",  GK  ",1350	,-	,-	,-	,78.7	
Riccardo Orsolini,",  M(CR),FW  ",619	,2	,1	,1.9	,60.9	
Odilon Kossounou,",  D(CR)  ",516	,-	,1	,0.1	,82.8	
Sékou Mara,",  FW  ",209	,-	,1	,1.2	,66.7	
Sargis Adamyan,",  AM(CLR),FW  ",430	,1	,1	,1.1	,75.2	
Luis Hernández,",  D(CR)  ",1080	,-	,-	,0.3	,79.1	
Juan Carlos Martín,",  GK  ",900	,-	,-	,-	,82.4	
Dominick Drexler,",  AM(CLR)  ",736	,2	,3	,0.8	,67.6	
Morten Thorsby,",  M(CLR)  ",431	,1	,-	,0.6	,68.5	
Atakan Karazor,",  D(C),DMC  ",482	,-	,-	,0.2	,84.3	
Florian Müller,",  GK  ",1350	,-	,-	,-	,79.9	
Jerdy Schouten,",  DMC  ",856	,-	,-	,0.2	,82.5	
Simon Zoller,",  AM(LR),FW  ",987	,3	,1	,1.8	,63.5	
Valère Germain,",  AM(CLR),FW  ",287	,2	,-	,0.7	,75.2	
Andoni Gorosabel,",  D(R)  ",716	,-	,-	,0.5	,87.4	
Remi Oudin,",  M(CLR),FW  ",210	,-	,-	,0.8	,62.6	
Joan Jordán,",  M(C)  ",687	,-	,-	,0.6	,86.9	
Alex Král,",  DMC  ",905	,-	,-	,0.7	,69.7	
Federico Bonazzoli,",  AM(C),FW  ",735	,1	,1	,1.6	,76.7	
Frank Onyeka,",  DMC  ",439	,-	,1	,0.3	,75.6	
José Morales,",  D(R),M(CLR),FW  ",421	,1	,-	,1	,63.2	
Iago,",  D(L),M(L)  ",1093	,-	,1	,0.5	,63.1	
Benjamin Leroy,",  GK  ",1179	,-	,-	,-	,56	
Wilfred Ndidi,",  D(C),DMC  ",637	,-	,-	,0.2	,87.7	
Toni Villa,",  AM(CL)  ",286	,-	,-	,0.9	,81.6	
Javier Puado,",  AM(LR),FW  ",751	,1	,-	,1.5	,83.7	
Iddrisu Baba,",  DMC  ",547	,-	,-	,0.1	,85.2	
Angelo Stiller,",  DMC  ",235	,-	,1	,0.2	,79.3	
Pavel Kaderábek,",  D(R),M(LR)  ",596	,1	,-	,0.2	,70	
Pascal Stenzel,",  D(CR),M(R)  ",224	,-	,1	,0.2	,77.2	
Scott McKenna,",  D(C)  ",1260	,-	,-	,0.1	,81.2	
Kevin Kampl,",  M(CLR)  ",722	,-	,-	,0.3	,91.2	
Rasmus Højlund,",  Forward  ",433	,1	,1	,1.1	,76.6	
Luka Milivojevic,",  DMC  ",274	,-	,-	,0.6	,83.4	
Borja Mayoral,",  FW  ",1116	,1	,-	,1.2	,74.9	
Davie Selke,",  FW  ",276	,1	,1	,0.5	,62.1	
Nélson Semedo,",  D(LR),M(R)  ",679	,-	,1	,0.1	,81.8	
Samuel Moutoussamy,",  M(CL)  ",832	,-	,1	,1.1	,85.6	
Théo Bongonda,",  AM(LR)  ",447	,1	,-	,0.8	,78.8	
Enzo Ebosse,",  D(C)  ",760	,-	,-	,0.2	,83.4	
Papu Gómez,",  M(CLR),FW  ",647	,-	,1	,1.3	,91.3	
Amadou Haidara,",  M(CLR)  ",465	,1	,1	,0.8	,83	
Shandon Baptiste,",  AM(C)  ",428	,-	,-	,0.2	,84.3	
Bonke Innocent,",  DMC  ",612	,-	,1	,0.2	,90.8	
Agustín Álvarez Martínez,",  Forward  ",163	,1	,1	,1.1	,87.2	
Milan Djuric,",  FW  ",277	,-	,-	,0.3	,49.5	
Florian Dietz,",  Forward  ",394	,1	,-	,1.5	,55.1	
Gumbau,",  DMC  ",834	,-	,3	,0.6	,84.1	
Jordi Osei-Tutu,",  D(R),M(LR)  ",495	,-	,-	,0.7	,75	
Alfred Duncan,",  DMC  ",285	,-	,-	,0.1	,79.1	
Óscar Mingueza,",  D(CR)  ",475	,-	,-	,0.3	,84.4	
Ronaldo Vieira,",  DMC  ",531	,-	,-	,0.2	,91.1	
Sebastian Polter,",  AM(R),FW  ",458	,1	,2	,0.4	,56.9	
Islam Slimani,",  FW  ",837	,1	,1	,1.2	,73.1	
Sven Michel,",  AM(L),FW  ",220	,3	,-	,0.5	,62.2	
Sebastian Rudy,",  D(R),M(CR)  ",243	,-	,1	,-	,80.3	
Fran Beltrán,",  DMC  ",1126	,-	,1	,0.8	,92.4	
Iván Alejo,",  AM(R)  ",660	,-	,1	,0.7	,70.1	
Tanguy Nianzou,",  D(C)  ",643	,-	,-	,0.3	,91.2	
Federico Di Francesco,",  M(LR),FW  ",654	,1	,1	,0.6	,70.9	
Mitchel Bakker,",  D(L),M(L)  ",765	,1	,1	,0.5	,76.8	
Omar Mascarell,",  DMC  ",1016	,-	,-	,0.2	,86.4	
Mikkel Damsgaard,",  AM(CL)  ",261	,-	,-	,0.3	,74.1	
Marcus Coco,",  M(LR),FW  ",215	,-	,-	,0.3	,76.8	
Ivan Rakitic,",  M(C)  ",524	,-	,-	,0.7	,82.6	
Stuart Armstrong,",  AM(CLR)  ",690	,1	,-	,0.9	,81.8	
Jesús Navas,",  D(R),M(R)  ",624	,-	,-	,0.5	,81	
Valery Fernández,",  M(L)  ",397	,-	,1	,0.4	,88.6	
Thorgan Hazard,",  M(CLR),FW  ",455	,-	,-	,0.6	,80	
Andreas Bruus,",  D(R)  ",505	,-	,1	,0.2	,73.6	
Enzo Millot,",  Midfielder  ",350	,-	,-	,0.5	,84.1	
Julian Jeanvier,",  D(C)  ",728	,1	,-	,0.4	,88.5	
Khalil Fayad,",  Midfielder  ",326	,-	,1	,0.4	,82.3	
Cyriel Dessers,",  FW  ",865	,2	,1	,2.1	,63.2	
Ezequiel Ponce,",  AM(L),FW  ",506	,2	,-	,0.9	,73.7	
Clément Grenier,",  M(CL)  ",404	,-	,-	,0.2	,80.2	
Djené Dakonam,",  D(C)  ",1004	,-	,-	,0.2	,84.2	
Keidi Bare,",  DMC  ",328	,-	,-	,0.4	,84.8	
Yves Bissouma,",  M(C)  ",602	,-	,-	,0.4	,91.6	
Angelo Fulgini,",  AM(CLR),FW  ",490	,-	,1	,0.4	,82.3	
Yannik Keitel,",  DMC  ",345	,-	,1	,-	,83.1	
Tanguy Ndombélé,",  M(C)  ",467	,-	,-	,0.9	,89.5	
Léo Leroy,",  DMC  ",251	,-	,-	,0.4	,71.2	
Gonzalo Escalante,",  DMC  ",556	,-	,1	,0.7	,77.6	
Andrea Petagna,",  FW  ",534	,1	,1	,0.8	,73.8	
Armando Broja,",  FW  ",290	,1	,-	,0.5	,62.3	
Brian Ocampo,",  M(L)  ",562	,-	,-	,0.5	,77.4	
Emre Can,",  D(CLR),DMC  ",394	,-	,-	,0.3	,88.8	
Neal Maupay,",  AM(C),FW  ",554	,1	,-	,1.3	,82.1	
Gonçalo Paciência,",  FW  ",328	,1	,-	,1.5	,56.3	
José Mari,",  DMC  ",282	,-	,-	,0.2	,80.9	
Marvin Schwäbe,",  GK  ",1350	,-	,-	,-	,79.4	
Gauthier Hein,",  AM(R)  ",672	,1	,-	,0.7	,89.3	
Iké Ugbo,",  FW  ",385	,1	,1	,0.5	,72.7	
Jim Allevinah,",  AM(LR)  ",542	,1	,-	,0.9	,83.2	
Dion Lopy,",  DMC  ",608	,-	,-	,0.5	,84.1	
Erhan Masovic,",  D(C)  ",719	,-	,-	,0.1	,83.6	
Pablo Sarabia,",  D(L),M(CLR),FW  ",314	,-	,-	,0.3	,83.6	
Oliver Burke,",  AM(LR),FW  ",242	,2	,-	,0.6	,72.2	
Christian Pulisic,",  M(CLR),FW  ",415	,1	,1	,0.8	,82.8	
Valerio Verre,",  AM(CL),FW  ",426	,-	,-	,0.7	,77.1	
Dyego Sousa,",  FW  ",302	,-	,1	,0.8	,69.6	
Kieran Tierney,",  D(CL),M(L)  ",346	,-	,-	,0.4	,77.7	
Lucas Alario,",  FW  ",234	,1	,-	,0.8	,70.9	
Kingsley Ehizibue,",  D(R),M(R)  ",339	,-	,-	,0.2	,75.3	
Luca Kilian,",  D(C)  ",1099	,1	,-	,0.3	,86.2	
Jon Moncayola,",  DMC  ",873	,-	,-	,1.2	,85	
Liam Henderson,",  AM(C)  ",600	,-	,1	,0.4	,80.1	
Matthis Abline,",  Forward  ",96	,1	,-	,0.6	,50	
Cédric Hountondji,",  D(C)  ",1338	,-	,-	,0.4	,87.4	
Nicolò Zaniolo,",  AM(CR),FW  ",772	,1	,-	,2	,69	
Taiwo Awoniyi,",  FW  ",512	,3	,-	,1.2	,78.3	
Birger Meling,",  D(LR),DMC  ",276	,-	,-	,-	,84.6	
Cédric Avinel,",  D(C)  ",696	,1	,-	,0.2	,84.4	
Jens Stage,",  M(C)  ",560	,-	,1	,0.3	,62.1	
Daniel Caligiuri,",  D(R),M(CLR),FW  ",255	,1	,-	,0.5	,62.8	
Ismaël Diallo,",  D(L)  ",927	,-	,-	,0.1	,77.8	
Achraf Dari,",  D(C)  ",720	,1	,-	,0.4	,81.6	
Helibelton Palacios,",  D(R)  ",707	,-	,-	,0.3	,81.3	
Adrien Tameze,",  M(C)  ",1061	,-	,-	,0.4	,74.9	
Kaan Ayhan,",  D(CR),DMC  ",543	,-	,-	,0.1	,86.9	
Chris Wood,",  FW  ",265	,1	,-	,0.4	,63.2	
Lilian Egloff,",  Midfielder  ",231	,-	,-	,0.9	,62.3	
Brennan Johnson,",  AM(CLR),FW  ",1189	,2	,-	,1.3	,61.3	
Dimitri Foulquier,",  D(CLR),M(R)  ",283	,-	,1	,0.1	,67.3	
Erik Botheim,",  Forward  ",326	,1	,1	,0.3	,65.4	
Jaidon Anthony,",  AM(L)  ",265	,2	,-	,0.6	,72.1	
Domagoj Bradaric,",  D(L),M(L)  ",501	,-	,1	,0.4	,84.5	
Florent Ogier,",  D(C)  ",670	,-	,1	,0.2	,84.6	
Michel Aebischer,",  AM(CR)  ",623	,1	,-	,0.7	,83.3	
Javi Hernández,",  Defender  ",364	,-	,1	,0.4	,85.4	
Arnaut Danjuma,",  AM(L),FW  ",478	,2	,-	,0.9	,72.8	
Rayan Raveloson,",  DMC  ",726	,-	,-	,0.8	,87	
Raúl Guti,",  DMC  ",622	,-	,-	,0.5	,85.6	
Anthony Lozano,",  AM(L),FW  ",757	,-	,-	,1.1	,67.9	
Kristoffer Askildsen,",  M(C)  ",503	,-	,-	,0.8	,68.8	
Moussa Diarra,",  D(C)  ",551	,-	,-	,0.1	,84.9	
Tom Cairney,",  M(CR)  ",330	,-	,-	,0.5	,89.6	
Kingsley Schindler,",  D(R),M(R),FW  ",480	,-	,-	,-	,66.3	
Radamel Falcao,",  FW  ",398	,2	,-	,1.1	,73.4	
Rafael Borré,",  FW  ",400	,1	,1	,0.7	,74.8	
Vasilios Lampropoulos,",  D(C)  ",475	,-	,-	,0.4	,67.4	
Luca Pfeiffer,",  FW  ",404	,-	,-	,0.8	,61.5	
Sergi Guardiola,",  FW  ",381	,-	,-	,0.9	,59.5	
Carles Pérez,",  AM(CR),FW  ",599	,-	,2	,0.9	,89.8	
Lorenzo De Silvestri,",  D(R),M(R)  ",517	,-	,-	,0.4	,68.4	
Ibrahima Koné,",  FW  ",294	,2	,-	,0.2	,59.2	
M'Baye Niang,",  AM(LR),FW  ",561	,2	,-	,1.3	,65	
Pietro Pellegri,",  FW  ",370	,1	,-	,0.5	,76.4	
Toma Basic,",  M(C)  ",274	,-	,-	,0.5	,81.3	
Ondrej Duda,",  AM(C),FW  ",694	,-	,-	,0.9	,77.3	
Robin Gosens,",  D(L),M(CL)  ",235	,1	,-	,0.3	,84	
Tommaso Augello,",  D(L)  ",1090	,-	,2	,0.2	,78.2	
Yayah Kallon,",  Forward  ",404	,1	,-	,0.7	,73.1	
Lucas Pérez,",  AM(CR),FW  ",589	,2	,-	,1.2	,83.4	
Benjamin Lecomte,",  GK  ",900	,-	,-	,-	,63.2	
Jean-Philippe Mateta,",  FW  ",276	,1	,-	,1	,67.2	
Hugo Duro,",  AM(L),FW  ",390	,1	,-	,1.1	,74.7	
Mattia Destro,",  FW  ",459	,1	,-	,1.8	,55.2	
Rodrigo Battaglia,",  M(C)  ",594	,-	,-	,0.2	,83.3	
Antonio Sánchez,",  AM(CR)  ",579	,-	,-	,0.6	,81.7	
Rubén Alcaraz,",  DMC  ",513	,-	,-	,0.9	,79.2	
Abdou Harroui,",  DMC,M(R)  ",283	,1	,-	,0.8	,82.4	
Eddie Nketiah,",  FW  ",142	,-	,-	,0.7	,84	
Kelechi Iheanacho,",  AM(C),FW  ",211	,1	,1	,1	,81.4	
Christian Gytkjær,",  FW  ",331	,1	,-	,0.8	,67.9	
Ryan Gravenberch,",  DMC  ",175	,-	,-	,0.6	,85.9	
Giacomo Quagliata,",  D(L)  ",407	,-	,-	,0.8	,72	
Kevin Lasagna,",  AM(CL),FW  ",844	,1	,2	,2.5	,57.8	
Jesse Lingard,",  AM(CLR),FW  ",814	,-	,-	,0.8	,80	
Arne Maier,",  M(C)  ",530	,-	,-	,0.8	,75.8	
Dimitrios Nikolaou,",  D(C)  ",1149	,-	,-	,0.4	,81.5	
Jacob Bruun Larsen,",  AM(CL),FW  ",290	,1	,-	,0.5	,75	
Shon Weissman,",  FW  ",559	,1	,-	,1.3	,77.4	
Aleix Vidal,",  D(R),M(LR)  ",448	,-	,-	,0.2	,77.1	
Silvère Ganvoula,",  FW  ",146	,-	,-	,0.8	,58.3	
Ibrahima Diallo,",  DMC  ",452	,-	,-	,0.3	,80.1	
Daniel Ciofani,",  FW  ",238	,2	,-	,0.8	,54.7	
Nicolás Melamed,",  AM(L)  ",176	,-	,-	,0.3	,83.6	
Jordan Larsson,",  AM(CR),FW  ",336	,-	,-	,1	,74.4	
Tete Morente,",  AM(CLR)  ",719	,-	,-	,1	,84.7	
Igor Julio,",  D(C),M(L)  ",724	,-	,-	,0.2	,90.6	
Emmanuel Dennis,",  M(LR),FW  ",342	,1	,1	,0.9	,73.8	
Ismail Jakobs,",  D(L),M(L)  ",334	,-	,-	,0.3	,76.3	
Sada Thioub,",  M(LR)  ",418	,-	,1	,0.2	,82.9	
Tariq Lamptey,",  D(R),M(R)  ",181	,-	,-	,0.1	,81.7	
Emmanuel Gyasi,",  M(LR),FW  ",1045	,-	,-	,1.3	,81.1	
Youssouf M'Changama,",  M(C)  ",294	,-	,-	,0.2	,87.1	
Mohamed Bayo,",  FW  ",211	,-	,-	,0.7	,56.8	
Youssef En-Nesyri,",  FW  ",354	,-	,-	,1.6	,56.6	
Rémy Dugimont,",  Forward  ",101	,-	,1	,0.4	,67.8	
Francesco Caputo,",  FW  ",1100	,1	,-	,1.3	,71.9	
Matteo Cancellieri,",  Forward  ",184	,-	,-	,0.3	,76.9	
Salvi Sánchez,",  AM(R)  ",259	,-	,-	,0.2	,60.5	
Hwang Hee-Chan,",  AM(CLR),FW  ",322	,-	,1	,0.5	,72.7	
Abdallah Sima,",  AM(R),FW  ",554	,-	,-	,0.7	,74.3	
Joe Gelhardt,",  FW  ",162	,-	,1	,0.7	,76.5	
Fede San Emeterio,",  DMC  ",797	,-	,-	,0.2	,81.4	
Jaime Seoane,",  M(C)  ",274	,-	,-	,0.1	,81.7	
Billal Brahimi,",  Forward  ",323	,-	,2	,0.3	,85.3	
Mateusz Klich,",  M(C)  ",188	,-	,-	,0.3	,75	
Andrea Belotti,",  FW  ",360	,-	,-	,0.8	,69.6	
Raoul Bellanova,",  M(R)  ",107	,-	,-	,0.2	,89.8	
Kristijan Bistrovic,",  DMC  ",436	,-	,-	,0.7	,80.4	
Manolo Gabbiadini,",  AM(CLR),FW  ",573	,1	,1	,1.7	,67.9	
Domingos Quina,",  M(CL)  ",262	,-	,-	,0.7	,84.6	
Kenan Karaman,",  AM(CLR),FW  ",358	,-	,-	,1.3	,68.5	
Josan,",  D(R),M(R)  ",389	,1	,-	,0.2	,81.6	
Willian José,",  FW  ",264	,-	,-	,0.8	,82.9	
Sébastien Corchia,",  D(R),M(R)  ",362	,-	,-	,0.1	,75.8	
Florent Mollet,",  AM(CLR)  ",408	,1	,-	,1.2	,78	
Patrick Bamford,",  AM(CLR),FW  ",429	,-	,1	,1.7	,74.7	
Kevin Spadanuda,",  M(L)  ",464	,-	,-	,0.3	,80.4	
Batista Mendy,",  D(C),DMC  ",1039	,-	,-	,0.2	,84.4	
Nils Petersen,",  FW  ",151	,-	,-	,0.3	,52.9	
Patrick Osterhage,",  M(C)  ",337	,-	,-	,0.2	,66.9	
Danny Latza,",  M(C)  ",178	,-	,-	,0.2	,75.9	
Enzo Roco,",  D(C)  ",798	,-	,-	,0.4	,85.5	
Albin Ekdal,",  M(C)  ",493	,-	,1	,0.5	,71.4	
Ado Onaiwu,",  Forward  ",279	,-	,1	,0.6	,78.2	
Francisco Portillo,",  M(CLR)  ",196	,-	,-	,-	,81.8	
Gonzalo Villar,",  DMC  ",659	,-	,-	,0.1	,84.3	
Delano Burgzorg,",  AM(L)  ",204	,-	,1	,0.4	,78.9	
Fabio Quagliarella,",  FW  ",324	,-	,-	,1.4	,70	
Portu,",  M(CLR),FW  ",378	,-	,-	,0.5	,79.2	
Carlos Vinícius,",  FW  ",325	,-	,-	,0.6	,58.6	
Karamoko Dembele,",  Forward  ",92	,-	,-	,0.4	,67.4	
Abdón Prats,",  FW  ",130	,-	,-	,0.5	,76.5	
Oier Zarraga,",  M(CR)  ",219	,-	,-	,0.8	,87.2	
Irvin Cardona,",  AM(L),FW  ",225	,-	,-	,0.4	,58.9	
Kévin Biakolo,",  Midfielder  ",298	,-	,-	,0.1	,80.9	
Patrick Herrmann,",  M(LR),FW  ",107	,1	,-	,0.5	,70	
Mikael Ellertsson,",  Midfielder  ",164	,-	,-	,0.2	,64.9	
